,MAE,sMAPE,rMAE
2019-08-20,4.086890732447306,9.90747060454707,1.1799034954737806
2019-08-21,7.101164172490438,16.008651627411655,2.774343808233284
2019-08-22,4.871577971776326,12.521807440417728,1.2000192068421618
2019-08-23,5.687362699508668,14.221981583034275,2.927857245564307
2019-08-24,3.192062250773112,9.654361744872357,0.34580434241470925
2019-08-25,4.389783871968588,12.95341347860137,2.2054597640202247
2019-08-26,8.122445338567099,17.588230737847947,0.7188534852334626
2019-08-27,5.346866518656412,11.490951418066881,0.8082942583002892
2019-08-28,7.722047678629558,14.455370816095328,0.8789620312407368
2019-08-29,4.047662124633789,8.8362087089701,0.4926660462075816
2019-08-30,5.082311566670735,12.022790535302248,0.9957181844905932
2019-08-31,3.6777433681488034,10.588628550221973,0.9913054900670631
2019-09-01,2.7169577121734623,8.82437532295346,0.710161022567666
2019-09-02,4.526315530141194,11.693357643481116,0.6941758113834026
2019-09-03,5.011625674565632,13.67253585854867,0.45510241094848536
2019-09-04,5.983932552337646,16.58702892888705,0.35576293414611443
2019-09-05,4.086030527750651,12.84933846161632,0.2843445043667816
2019-09-06,2.221870772043864,6.998975416451499,0.23630638362604248
2019-09-07,4.653663829167684,13.058253882338366,1.2914885742371005
2019-09-08,6.435841051737467,18.24207050413232,1.0477559709788304
2019-09-09,7.993722944259644,17.537238331197536,1.2147745878695082
2019-09-10,4.879190565745037,12.587944593433049,1.6534958144292704
2019-09-11,3.6868712711334233,11.086871577008276,3.6383598070395644
2019-09-12,5.178691959381103,13.45663556772376,0.6817806199953179
2019-09-13,5.044827315012614,13.617222296322751,1.1720799182991553
2019-09-14,4.386625541051229,13.803659820870337,0.6498704505261081
2019-09-15,8.90335057735443,53.84872250862883,0.4830354993704508
2019-09-16,8.693129542668661,30.908992743144942,0.7464583507121569
2019-09-17,5.878298578262329,18.514516145255165,1.0356714570422543
2019-09-18,7.450462710062663,19.999716311683116,1.43565720627462
2019-09-19,7.353865903218587,16.275313550019064,1.144496347041347
2019-09-20,5.904924589792887,13.907660281094284,0.7557094339840521
2019-09-21,5.689057375590006,16.17573419609095,0.9747795888781334
2019-09-22,3.2814286613464354,10.692683501961255,0.2756248481864503
2019-09-23,9.220607268015543,22.378318143864927,1.1177058156087327
2019-09-24,6.911927623748778,14.492315255621815,0.42926783710270844
2019-09-25,6.105807456970214,13.006163925840797,0.5472992678516718
2019-09-26,3.9289469146728515,9.997123492137412,0.6500842878465938
2019-09-27,5.595335458119711,14.708430598223199,1.1810734476242133
2019-09-28,2.6026890436808263,8.591870293630642,0.4155437536478169
2019-09-29,6.593507728576661,34.729389954202475,0.7939202563006217
2019-09-30,7.783655519485474,27.03213363996206,0.5676666235190573
2019-10-01,10.23940654118856,26.19234321120118,1.6604443039765229
2019-10-02,4.263906497955322,10.841609053393917,0.5747472954278445
2019-10-03,5.614428354899089,14.07478790329653,0.8891796259573586
2019-10-04,8.883520332972209,22.042378398522356,1.7973738660540635
2019-10-05,4.347896563212077,11.369201579003683,0.5469338933753858
2019-10-06,1.6790946292877198,4.943693181873466,0.17369195768676035
2019-10-07,6.03618247350057,13.384536319595352,0.34912249515366595
2019-10-08,3.4434978771209717,10.238790752319971,0.4575823545257921
2019-10-09,4.029180326461792,12.037861714440057,0.9245657121625683
2019-10-10,5.340734335581462,17.09065109950813,0.6964282752184465
2019-10-11,5.1563628387451175,21.054149943585422,0.29688299618530567
2019-10-12,8.18908991654714,62.283876977946676,0.4752694072912034
2019-10-13,4.752941093444824,19.505068668265725,0.8351313144642784
2019-10-14,16.437622985442477,65.21357814116372,1.5028111372923678
2019-10-15,11.716301774978637,27.981618389654567,1.2662849797328977
2019-10-16,10.83572871208191,24.35776696541345,0.925866879414575
2019-10-17,11.571237128575644,26.57139035249156,0.8460310467199252
2019-10-18,5.811247765223186,14.09976769322486,0.4306887761027591
2019-10-19,4.260797128677368,12.695289773845467,0.31941006118462234
2019-10-20,4.819073543548583,13.45523093626111,0.6398769850354965
2019-10-21,10.501601854960123,24.87494115335814,1.3777862817418849
2019-10-22,4.939528535207113,10.105234354068342,1.1271029173319138
2019-10-23,4.757380339304606,10.59870986353033,1.0937554185583922
2019-10-24,3.698695367177327,9.433457393352604,0.47142160813731193
2019-10-25,5.195623064041137,13.877616592491519,0.7685832934972096
2019-10-26,4.046008075078329,16.995709494209716,0.6515748091114535
